2017-03-23 16:38:24.840 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fcore.boot.sysTest.SysUserTest], using SpringBootContextLoader
2017-03-23 16:38:24.861 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.fcore.boot.sysTest.SysUserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-03-23 16:38:24.862 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.fcore.boot.sysTest.SysUserTest]: SysUserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-03-23 16:38:25.002 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.fcore.boot.Application for test class com.fcore.boot.sysTest.SysUserTest
2017-03-23 16:38:25.008 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-03-23 16:38:25.024 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@139982de, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@682b2fa, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@217ed35e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7dcf94f8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@229f66ed, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31190526, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@662ac478, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6743e411, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3eb25e1a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@477b4cdf, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@77c2494c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@f5958c9]
2017-03-23 16:38:25.028 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fcore.boot.sysTest.SysUserTest], using SpringBootContextLoader
2017-03-23 16:38:25.029 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.fcore.boot.sysTest.SysUserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-03-23 16:38:25.029 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.fcore.boot.sysTest.SysUserTest]: SysUserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-03-23 16:38:25.033 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.fcore.boot.Application for test class com.fcore.boot.sysTest.SysUserTest
2017-03-23 16:38:25.037 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-03-23 16:38:25.039 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7d8704ef, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13b6aecc, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@158a8276, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c3d9b6b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@79d8407f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5fbe4146, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e66f1f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4e50c791, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7530ad9c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58a9760d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@71e9ddb4, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@394df057]
2017-03-23 16:41:29.173 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.fcore.boot.sysTest.SysUserTest], using SpringBootContextLoader
2017-03-23 16:41:29.213 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.fcore.boot.sysTest.SysUserTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-03-23 16:41:29.213 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.fcore.boot.sysTest.SysUserTest]: SysUserTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-03-23 16:41:29.324 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.fcore.boot.Application for test class com.fcore.boot.sysTest.SysUserTest
